Section,PropertyName,Value,DataType,DataUnit,RequirementLevel,Description,Example,AllowedValues,Comments,Reference
electrophysiology/probe,probeID,,,,REQUIRED,Unique identifier for each probe that is referenced in the dataset,,,,
,probetype,,,,REQUIRED,"Type of probe used – Utah array, laminar, single tetrode, etc.",,,,
,probeHemisphere,,,,RECOMMENDED,Brain hemisphere where probe was located,,,,
,associatedBrainRegion,,,,RECOMMENDED,Textual indication of the location of the probe in the brain.,,,,
,associatedBrainRegionID,,,,RECOMMENDED,"Identifier of the associated brain region, reference ontology database - https://www.ebi.ac.uk/ols/ontologies/uberon",,,,
,associatedBrainRegionQualityType,,,,RECOMMENDED,The method used to identify the associated brain region (estimated|proof) depending on anatomical pictures proofing the location or indirect estimation of the location.&#10;,,,,
,referenceAtlas,,,,OPTIONAL, Reference atlas used for associated brain region,,,,
,coordinateSpace,,,,OPTIONAL,"The reference space used for the coordinate definition, could be, ‘anatomical’ , ‘recording chamber’, ‘sample’, ‘other’.&#10;",,,,
electrophysiology/probe/coordinateSpace,anatomicalAxesOrientation,,,,OPTIONAL,"The anatomical axes used as coordinate system, for instance, AIL would mean X, Y, Z axes are oriented towards anterior, inferior and left, respectively.",,,,
electrophysiology/probe,probeX,,,,RECOMMENDED,Recorded probe position on x-axis,,,,
,probeY,,,,RECOMMENDED,Recorded probe position on y-axis,,,,
,probeZ,,,,RECOMMENDED,Recorded probe position on z-axis,,,,
,probeRoll,,,,RECOMMENDED,Recorded rotation around the roll axis,,,,
,probePitch,,,,RECOMMENDED,Recorded rotation around the pitch axis,,,,
,probeYaw,,,,RECOMMENDED,Recorded rotation around the yaw axis,,,,
,placementPicture,,,,RECOMMENDED,Relative or absolute path to photograph showing probe placement&#10;,,,,
,probeManufacturer,,,,RECOMMENDED,"Manufacturer of the probe system, eg., ‘opnephys’,’blackrock’, etc",,,,
,probeDeviceSerialNumber,,,,OPTIONAL,Manufacturer provided serial number of the probe,,,,
,probeDepth,,,,OPTIONAL,Depth of the probe used,,,,
,probeWidth,,,,OPTIONAL,Width of the probe used,,,,
,probeHeight,,,,OPTIONAL,Height of the probe used,,,,
