"Document Information","author","Reema Gupta","date","","repository","","version","1.0"
"Path to Section","Property Name","Value","odML Data Type","","","","",""
"/dataset-description","free-text-field","","","","","","",""
"/dataset-description/author-element","authorAffiliation","","","","","","",""
"","authorIdentifier","","","","","","",""
"","firstName","","","","","","",""
"","lastName","","","","","","",""
"/dataset-description/dataset-description-header","dataset-description-header","","","","","","",""
"/dataset-description/dataset-experiment-element","animalModel","","","","","","",""
"","recordingProtocol","","","","","","",""
"","recordingRegion","","","","","","",""
"/dataset-description/dataset-general-element","acknowledgements","","","","","","",""
"","datasetDOI","","","","","","",""
"","datasetLicense","","","","","","",""
"","datasetType","","","","","","",""
"","description","","","","","","",""
"","ethicsApproval","","","","","","",""
"","funding","","","","","","",""
"","howToAcknowledge","","","","","","",""
"","otherDatasetLicense","","","","","","",""
"","title","","","","","","",""
"/dataset-description/in2pb-element","in2pbProject","","","","","","",""
"/dataset-description/in2pb-header","in2pb-header","","","","","","",""
"/dataset-description/reference-element","referenceCitation","","","","","","",""
"","referenceType","","","","","","",""
"","refernceIdentifier","","","","","","",""
