"Document Information","author","Reema Gupta","date","","repository","","version","1.0"
"Path to Section","Property Name","Value","odML Data Type","","","","",""
"/electrophysiology","free-text-field","","","","","","",""
"/electrophysiology/acquisiton-system-element","institutionAddress","","","","","","",""
"","institutionName","","","","","","",""
"","manufacturer","","","","","","",""
"","manufacturerModelName","","","","","","",""
"","manufacturerModelVersion","","","","","","",""
"","powerLineFrequency","","","","","","",""
"","recordingSetupCustomName","","","","","","",""
"","samplingFrequency","","","","","","",""
"","serialNumbers","","","","","","",""
"","softwareVersions","","","","","","",""
"","systemCreator","","","","","","",""
"","systemMaintainer","","","","","","",""
"","usesSoftwareSuite","","","","","","",""
"/electrophysiology/channel-element","channelDescription","","","","","","",""
"","channelElectrodeID","","","","","","",""
"","channelGain","","","","","","",""
"","channelGround","","","","","","",""
"","channelID","","","","","","",""
"","channelLabel","","","","","","",""
"","channelReference","","","","","","",""
"","channelStatus","","","","","","",""
"","channelStatusDescription","","","","","","",""
"","channelTimeOffset","","","","","","",""
"","channelTimeReference","","","","","","",""
"","channelType","","","","","","",""
"","channelUnit","","","","","","",""
"","dataStreamID","","","","","","",""
"","hardwareFilters","","","","","","",""
"","notchFilters","","","","","","",""
"","samplingFrequency","","","","","","",""
"","softwareFilters","","","","","","",""
"/electrophysiology/electrode-element","electrodeHemisphere","","","","","","",""
"","electrodeID","","","","","","",""
"","electrodeImpedance","","","","","","",""
"","electrodeInsulationMaterial","","","","","","",""
"","electrodeLocation","","","","","","",""
"","electrodeMaterial","","","","","","",""
"","electrodeProbeID","","","","","","",""
"","electrodeShape","","","","","","",""
"","electrodeSize","","","","","","",""
"","electrodeX","","","","","","",""
"","electrodeY","","","","","","",""
"","electrodeZ","","","","","","",""
"","shankID","","","","","","",""
"/electrophysiology/electrophysiology-header","electrophysiology-header","","","","","","",""
"/electrophysiology/in2pb-header","in2pb-header","","","","","","",""
"/electrophysiology/probe-element","associatedBrainRegion","","","","","","",""
"","associatedBrainRegionID","","","","","","",""
"","associatedBrainRegionQualityType","","","","","","",""
"","electrodeCount","","","","","","",""
"","probeAlphaRotation","","","","","","",""
"","probeBetaRotation","","","","","","",""
"","probeCoordinateReferencePoint","","","","","","",""
"","probeDepth","","","","","","",""
"","probeDeviceSerialNumber","","","","","","",""
"","probeGammaRotation","","","","","","",""
"","probeHeight","","","","","","",""
"","probeHemisphere","","","","","","",""
"","probeID","","","","","","",""
"","probeManufacturer","","","","","","",""
"","probeMaterial","","","","","","",""
"","probeType","","","","","","",""
"","probeWidth","","","","","","",""
"","probeX","","","","","","",""
"","probeY","","","","","","",""
"","probeZ","","","","","","",""
"","referenceAtlas","","","","","","",""
