"Document Information","author","Reema Gupta","date","","repository","","version","1.0"
"Path to Section","Property Name","Value","odML Data Type","","","","",""
"/session-trial","free-text-field","","","","","","",""
"/session-trial/in2pb-header","in2pb-header","","","","","","",""
"/session-trial/session-element","comment","","","","","","",""
"","sessionDataQuality","","","","","","",""
"","sessionDuration","","","","","","",""
"","sessionID","","","","","","",""
"","sessionQuality","","","","","","",""
"","sessionStartDateTime","","","","","","",""
"","trialCount","","","","","","",""
"","trialDefinition","","","","","","",""
"/session-trial/session-trial-header","session-trial-header","","","","","","",""
"/session-trial/trial-element","sessionID","","","","","","",""
"","trialEndStamp","","","","","","",""
"","trialID","","","","","","",""
"","trialTimeStamp","","","","","","",""
"","trialType","","","","","","",""
