"Document Information","author","Reema Gupta","date","","repository","","version","1.0"
"Path to Section","Property Name","Value","odML Data Type","","","","",""
"/task-event","free-text-field","","","","","","",""
"/task-event/event-codes-element","code","","","","","","",""
"","codeDescription","","","","","","",""
"","codeName","","","","","","",""
"/task-event/in2pb-header","in2pb-header","","","","","","",""
"/task-event/task-element","otherTaskName","","","","","","",""
"","otherTaskType","","","","","","",""
"","taskComment","","","","","","",""
"","taskConfig","","","","","","",""
"","taskDescription","","","","","","",""
"","taskName","","","","","","",""
"","taskType","","","","","","",""
"/task-event/task-event-header","task-event-header","","","","","","",""
