"Document Information","author","Reema Gupta","date","","repository","","version","1.0"
"Path to Section","Property Name","Value","odML Data Type","","","","",""
"/video-recording","free-text-field","","","","","","",""
"/video-recording/acquisiton-system-element","institutionAddress","","","","","","",""
"","institutionName","","","","","","",""
"","manufacturer","","","","","","",""
"","manufacturerModelName","","","","","","",""
"","manufacturerModelVersion","","","","","","",""
"","powerLineFrequency","","","","","","",""
"","recordingSetupCustomName","","","","","","",""
"","samplingFrequency","","","","","","",""
"","serialNumbers","","","","","","",""
"","softwareVersions","","","","","","",""
"","systemCreator","","","","","","",""
"","systemMaintainer","","","","","","",""
"","usesSoftwareSuite","","","","","","",""
"/video-recording/in2pb-header","in2pb-header","","","","","","",""
"/video-recording/video-recording-element","videoAspectRatio","","","","","","",""
"","videoCodec","","","","","","",""
"","videoFileFormat","","","","","","",""
"","videoID","","","","","","",""
"","videoResolutionHeight","","","","","","",""
"","videoResolutionWidth","","","","","","",""
"","videoSource","","","","","","",""
"/video-recording/video-recording-header","video-recording-header","","","","","","",""
